                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                0.21733,                0.18333,                0.85858,                0.99879,                0.98455,                  0.995,                0.62216,                0.14643,                0.11703,                0.77506,             0.00046226,             0.00046226,             0.00046226
                     75,                0.20946,                0.17403,                0.85749,                0.99266,                      1,                  0.995,                0.72036,                0.14938,                0.11626,                0.77451,             0.00044576,             0.00044576,             0.00044576
                     76,                0.21533,                0.17653,                0.85818,                0.99219,                      1,                  0.995,                0.72201,                0.14214,                0.12842,                0.76725,             0.00042925,             0.00042925,             0.00042925
                     77,                0.20727,                0.17347,                0.85266,                0.99334,                      1,                  0.995,                0.67158,                0.13055,                0.11772,                0.76859,             0.00041275,             0.00041275,             0.00041275
                     78,                0.20542,                0.17054,                 0.8526,                0.99182,                      1,                  0.995,                0.73431,                0.13804,                0.11897,                0.76782,             0.00039625,             0.00039625,             0.00039625
                     79,                0.19877,                0.16716,                0.84819,                0.96945,                      1,                0.97901,                  0.719,                0.13067,                0.16145,                0.76702,             0.00037974,             0.00037974,             0.00037974
                     80,                0.19176,                0.16266,                0.84818,                 0.9911,                      1,                  0.995,                0.75088,                0.13745,                0.11156,                 0.7677,             0.00036324,             0.00036324,             0.00036324
                     81,                0.19356,                0.16286,                0.84716,                0.99174,                      1,                  0.995,                0.75306,                0.14229,                 0.1197,                0.76684,             0.00034674,             0.00034674,             0.00034674
                     82,                0.18817,                0.16601,                0.85043,                0.99233,                      1,                  0.995,                0.73464,                0.13167,                0.11724,                0.76721,             0.00033023,             0.00033023,             0.00033023
                     83,                0.19013,                0.16166,                0.84891,                0.99164,                      1,                  0.995,                0.73624,                0.13312,                0.11443,                  0.768,             0.00031373,             0.00031373,             0.00031373
                     84,                0.18196,                0.15647,                0.84672,                0.99242,                      1,                  0.995,                0.74992,                0.12508,                0.10666,                0.76169,             0.00029723,             0.00029723,             0.00029723
                     85,                0.17854,                0.15707,                0.84232,                0.99166,                      1,                  0.995,                0.75724,                0.11944,                0.11062,                0.75635,             0.00028072,             0.00028072,             0.00028072
                     86,                0.17435,                0.15428,                0.84651,                0.99327,                      1,                  0.995,                 0.7348,                0.11963,                0.10826,                0.75466,             0.00026422,             0.00026422,             0.00026422
                     87,                0.17654,                0.15293,                 0.8451,                0.99349,                      1,                  0.995,                0.72244,                0.12818,                0.10793,                0.76304,             0.00024772,             0.00024772,             0.00024772
                     88,                0.17779,                0.15464,                0.84447,                0.99384,                      1,                  0.995,                0.73607,                0.11503,                0.10477,                 0.7637,             0.00023121,             0.00023121,             0.00023121
                     89,                0.17035,                0.15097,                0.83901,                0.99203,                      1,                  0.995,                0.70893,                0.12009,                0.10442,                0.76409,             0.00021471,             0.00021471,             0.00021471
                     90,                0.17367,                0.14754,                0.84811,                0.99252,                      1,                  0.995,                0.71004,                0.11926,                0.10301,                0.76393,             0.00019821,             0.00019821,             0.00019821
                     91,                  0.133,                0.11321,                0.78409,                0.99265,                      1,                  0.995,                 0.7269,                0.11606,                0.10233,                0.75991,              0.0001817,              0.0001817,              0.0001817
                     92,                0.12702,                0.10821,                0.78311,                0.99152,                      1,                  0.995,                0.70373,                0.12027,                0.10797,                0.75764,              0.0001652,              0.0001652,              0.0001652
                     93,                0.12213,                0.10401,                0.77773,                0.99118,                      1,                  0.995,                0.68924,                0.11901,                0.10223,                0.76149,              0.0001487,              0.0001487,              0.0001487
                     94,                0.11857,                0.10137,                0.78386,                0.98837,                      1,                  0.995,                0.73639,                0.11162,                0.10267,                0.76093,             0.00013219,             0.00013219,             0.00013219
                     95,                0.11927,                0.10154,                0.78725,                0.98899,                      1,                  0.995,                0.73654,                0.11216,                0.09593,                0.76159,             0.00011569,             0.00011569,             0.00011569
                     96,                0.11612,                0.10038,                0.78152,                0.99134,                      1,                  0.995,                 0.7376,                0.11327,                0.09651,                0.76048,             9.9187e-05,             9.9187e-05,             9.9187e-05
                     97,                 0.1105,                0.09662,                 0.7753,                0.99176,                      1,                  0.995,                 0.7383,                0.10699,                0.09423,                0.76209,             8.2683e-05,             8.2683e-05,             8.2683e-05
                     98,                0.10957,                0.09469,                0.77747,                0.99155,                      1,                  0.995,                 0.7372,                0.10183,                0.09123,                0.76016,              6.618e-05,              6.618e-05,              6.618e-05
                     99,                0.10605,                0.09252,                0.77651,                0.99169,                      1,                  0.995,                0.73842,                0.10194,                0.08992,                 0.7585,             4.9677e-05,             4.9677e-05,             4.9677e-05
                    100,                0.10297,                0.09049,                0.78142,                0.99156,                      1,                  0.995,                0.74075,                0.09763,                0.09044,                0.75824,             3.3173e-05,             3.3173e-05,             3.3173e-05
