                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    113,                0.71756,                0.40013,                0.99546,                0.98493,                0.94318,                0.98031,                0.82394,                0.66418,                0.31088,                0.97625,               0.004456,               0.004456,               0.004456
                    114,                0.72229,                0.39975,                 0.9945,                0.98474,                0.94223,                0.98031,                0.82499,                0.66283,                0.31039,                0.97519,              0.0044065,              0.0044065,              0.0044065
                    115,                0.72137,                0.39972,                0.99373,                0.98358,                0.94318,                0.98127,                0.82718,                0.65951,                0.30911,                0.97318,               0.004357,               0.004357,               0.004357
                    116,                0.70723,                0.39213,                0.98576,                0.98438,                0.94223,                0.98108,                0.82821,                0.65635,                0.30523,                0.97172,              0.0043075,              0.0043075,              0.0043075
                    117,                0.71126,                0.39712,                0.99207,                 0.9859,                0.94223,                0.98072,                0.82792,                0.65527,                0.30431,                0.97193,               0.004258,               0.004258,               0.004258
                    118,                0.71151,                0.39727,                0.99236,                0.97933,                0.94219,                 0.9799,                0.82822,                 0.6537,                0.30537,                0.97141,              0.0042085,              0.0042085,              0.0042085
                    119,                0.70756,                0.38793,                0.99096,                0.97564,                0.94829,                 0.9808,                0.82817,                0.65275,                0.30419,                0.97036,               0.004159,               0.004159,               0.004159
                    120,                0.70698,                 0.3916,                  0.991,                0.97935,                0.94319,                0.98001,                 0.8293,                0.65215,                0.30328,                0.96975,              0.0041095,              0.0041095,              0.0041095
                    121,                0.69376,                0.38148,                0.98176,                0.97888,                0.94223,                0.97994,                0.82899,                0.65039,                0.30288,                0.96856,                0.00406,                0.00406,                0.00406
                    122,                 0.7029,                0.38908,                0.98723,                0.96827,                0.95374,                0.98069,                0.83015,                0.65022,                0.30217,                 0.9686,              0.0040105,              0.0040105,              0.0040105
                    123,                0.69608,                 0.3842,                0.98292,                0.97019,                 0.9555,                0.98139,                0.82991,                0.64891,                0.30022,                0.96807,               0.003961,               0.003961,               0.003961
                    124,                0.69776,                0.38568,                0.98359,                0.97293,                0.95282,                0.98139,                0.82907,                 0.6482,                 0.2989,                0.96787,              0.0039115,              0.0039115,              0.0039115
                    125,                0.68919,                0.38054,                0.97913,                0.97296,                  0.954,                 0.9816,                0.83049,                0.64761,                0.29945,                0.96758,               0.003862,               0.003862,               0.003862
                    126,                0.69209,                0.38095,                0.97741,                0.97626,                0.95265,                0.98108,                0.83114,                0.64641,                0.29952,                0.96719,              0.0038125,              0.0038125,              0.0038125
                    127,                0.68642,                0.37725,                0.98037,                0.97485,                0.95435,                0.98097,                0.83188,                0.64566,                0.29784,                0.96642,               0.003763,               0.003763,               0.003763
                    128,                0.68221,                0.37672,                0.97918,                0.97574,                0.95224,                0.98188,                0.83247,                0.64572,                0.29743,                0.96559,              0.0037135,              0.0037135,              0.0037135
                    129,                0.68608,                 0.3807,                 0.9806,                0.98135,                0.94413,                0.98197,                0.83317,                 0.6442,                 0.2977,                0.96512,               0.003664,               0.003664,               0.003664
                    130,                0.68386,                0.37954,                0.98013,                0.98103,                0.94602,                0.98276,                0.83283,                0.64257,                0.29766,                0.96351,              0.0036145,              0.0036145,              0.0036145
                    131,                   0.68,                0.37885,                0.98092,                0.98032,                0.94792,                0.98276,                0.83146,                0.64206,                0.29755,                0.96336,               0.003565,               0.003565,               0.003565
                    132,                0.68567,                0.38078,                0.97822,                0.98327,                0.94623,                0.98278,                0.83267,                0.64092,                 0.2964,                0.96316,              0.0035155,              0.0035155,              0.0035155
                    133,                0.67232,                0.37268,                0.97152,                0.97889,                0.94981,                0.98293,                0.83398,                0.63927,                0.29614,                0.96294,               0.003466,               0.003466,               0.003466
                    134,                0.67146,                0.36874,                0.97368,                 0.9828,                0.94602,                0.98265,                0.83379,                0.63792,                0.29548,                0.96257,              0.0034165,              0.0034165,              0.0034165
                    135,                0.66691,                0.37193,                0.97131,                 0.9823,                0.94614,                0.98255,                0.83514,                0.63602,                0.29512,                0.96229,               0.003367,               0.003367,               0.003367
                    136,                0.67608,                0.37145,                0.97495,                0.98325,                0.94501,                0.98277,                0.83506,                 0.6357,                0.29484,                0.96247,              0.0033175,              0.0033175,              0.0033175
                    137,                0.66509,                 0.3633,                0.97428,                0.98268,                0.94413,                0.98285,                0.83524,                0.63451,                0.29395,                0.96252,               0.003268,               0.003268,               0.003268
                    138,                0.66121,                0.36584,                0.97141,                0.98332,                0.94413,                0.98189,                0.83582,                0.63347,                0.29357,                0.96221,              0.0032185,              0.0032185,              0.0032185
                    139,                  0.669,                0.36663,                0.97598,                0.98362,                0.94508,                0.98192,                0.83557,                0.63303,                0.29345,                0.96209,               0.003169,               0.003169,               0.003169
                    140,                0.64912,                  0.362,                0.96277,                0.98326,                0.94602,                0.98142,                0.83608,                0.63232,                0.29304,                0.96164,              0.0031195,              0.0031195,              0.0031195
                    141,                0.65526,                0.36399,                0.96584,                0.98453,                0.94413,                0.98127,                0.83567,                0.63108,                0.29302,                0.96093,                0.00307,                0.00307,                0.00307
                    142,                 0.6477,                0.36034,                0.96132,                0.98228,                0.94515,                0.98141,                0.83623,                0.62981,                0.29247,                0.96053,              0.0030205,              0.0030205,              0.0030205
                    143,                 0.6451,                0.35486,                0.96095,                 0.9829,                0.94508,                0.98194,                 0.8371,                0.62839,                0.29118,                0.95998,               0.002971,               0.002971,               0.002971
                    144,                0.65285,                0.36434,                 0.9663,                 0.9823,                0.94595,                0.98201,                0.83712,                0.62752,                 0.2907,                0.95985,              0.0029215,              0.0029215,              0.0029215
                    145,                 0.6492,                0.35767,                0.96419,                 0.9823,                0.94594,                0.98162,                0.83794,                0.62634,                0.28983,                0.95936,               0.002872,               0.002872,               0.002872
                    146,                0.64235,                0.35748,                0.96096,                 0.9823,                0.94576,                0.98154,                0.83845,                0.62508,                0.28991,                0.95851,              0.0028225,              0.0028225,              0.0028225
                    147,                0.64002,                 0.3578,                0.96112,                0.97935,                0.94697,                0.98156,                0.83839,                0.62395,                0.28953,                 0.9582,               0.002773,               0.002773,               0.002773
                    148,                0.63194,                0.35016,                0.95769,                0.97942,                0.94622,                0.98107,                0.83774,                0.62278,                0.28907,                0.95766,              0.0027235,              0.0027235,              0.0027235
                    149,                 0.6281,                0.34678,                0.95534,                0.98105,                0.94602,                0.98123,                0.83805,                0.62184,                0.28911,                0.95739,               0.002674,               0.002674,               0.002674
                    150,                0.63739,                0.35141,                0.95946,                0.97949,                0.94974,                0.98221,                0.83831,                0.62162,                0.28856,                0.95725,              0.0026245,              0.0026245,              0.0026245
                    151,                0.62741,                 0.3508,                0.95395,                0.97949,                0.95076,                0.98227,                 0.8384,                0.62101,                0.28858,                0.95718,               0.002575,               0.002575,               0.002575
                    152,                0.63471,                  0.347,                0.95713,                0.98133,                0.94576,                0.98151,                0.83919,                0.62006,                0.28773,                0.95675,              0.0025255,              0.0025255,              0.0025255
                    153,                0.63135,                0.34715,                0.95715,                0.98036,                0.94546,                0.98209,                0.83992,                0.61951,                0.28747,                0.95648,               0.002476,               0.002476,               0.002476
                    154,                0.62753,                0.34539,                0.95539,                0.98036,                0.94792,                0.98211,                0.84008,                 0.6189,                0.28627,                0.95636,              0.0024265,              0.0024265,              0.0024265
                    155,                0.62362,                 0.3436,                0.95172,                 0.9804,                0.94724,                0.98207,                 0.8401,                0.61835,                0.28662,                0.95614,               0.002377,               0.002377,               0.002377
                    156,                0.62852,                0.34609,                 0.9569,                0.98137,                0.94763,                0.98163,                0.84013,                0.61789,                0.28674,                0.95618,              0.0023275,              0.0023275,              0.0023275
                    157,                0.61391,                0.34305,                0.94886,                0.98136,                0.94752,                0.98146,                0.83946,                0.61728,                 0.2867,                0.95617,               0.002278,               0.002278,               0.002278
                    158,                0.61348,                0.34209,                0.95322,                0.98136,                0.94733,                 0.9814,                0.84014,                0.61719,                0.28641,                0.95619,              0.0022285,              0.0022285,              0.0022285
